SESSION_KEY,SESSION_DATE,MEMBER_KEY,FLAG_FIRST_TIME_VISITOR,FLAG_FIRST_TIME_BUYER,PROBABILITY_TO_TRANSACT,PREDICTED_POINTS_PURCHASED,PREDICTED_PRICE_PER_POINT,OFFER_RICHNESS_SERVED,FLAG_TRANSACTION,OFFER_RICHNESS_APPLIED,POINTS_PURCHASED,PRICE_PER_POINT,CURRENT_BALANCE,DAYS_SINCE_LAST_PURCHASE_L12M,COUNT_TRANX_L12M,LAST_OFFER_RICHNESS_SERVED_ON_PURCHASE_L12M,OFFER_RICHNESS_APPLIED_ON_LAST_PURCHASE_L12M,POINTS_PURCHASED_LAST_TRANX_L12M,DAYS_SINCE_LAST_VISIT_NO_PURCHASE
4440fd6c-9539-4fbf-a069-b4af859a26f4,2024-09-02 13:18:16.000,-277373029584583583,0,0,0.8222793575994416,8256.933413042616,0.01582521371216005,0.50,1,0.5,8000.0,0.015,20424,9999,0,-1.0,-1.0,0.0,9999
ffe52bda-77c1-4783-98f8-c65cb40014c5,2024-09-02 13:18:22.000,4800505202122762580,0,0,0.6091272534511611,10008.096004476183,0.015402145843718733,0.50,0,-1.0,0.0,-1.0,9158,235,1,0.5,0.0,2000.0,22
b8a033c7-025a-417f-8515-52c3ab1418b1,2024-09-02 13:18:23.000,2508569654291536743,0,1,0.7926663178284089,9871.21920921881,0.0159020566263695,0.50,0,-1.0,0.0,-1.0,28819,9999,0,-1.0,-1.0,0.0,9999
1897a063-b384-4244-90ad-ae6c8754d5fa,2024-09-02 13:18:39.000,5581404166901317018,0,0,0.39464945382060573,8418.04161448389,0.015635618665948335,0.50,0,-1.0,0.0,-1.0,15450,9999,0,-1.0,-1.0,0.0,236
7c4c1df5-a0d1-4e36-9410-a8deb7f1fb7d,2024-09-02 13:19:23.000,-2149163362345085687,0,1,0.10678673238653769,9272.828773452107,0.015670487365447926,0.50,0,-1.0,0.0,-1.0,1768,9999,0,-1.0,-1.0,0.0,96
459116a4-cce7-4880-83d2-bf8e7f54162a,2024-09-02 13:19:24.000,-4239469330597962144,1,1,0.6063653804658831,10065.680428145726,0.015715747654683723,0.50,1,0.5,25000.0,0.015,29033,9999,0,-1.0,-1.0,0.0,9999
3c4a3cae-031e-45a6-8275-9c13b5256282,2024-09-02 13:19:44.000,-6497957796857334849,0,1,0.7439159678988749,11540.45317624811,0.015862853582839766,0.45,0,-1.0,0.0,-1.0,30214,9999,0,-1.0,-1.0,0.0,9999
df79f1f5-4bc5-4156-aafe-77925c3de630,2024-09-02 13:20:37.000,3702011207643985720,0,1,0.3283469166794272,10428.193748803676,0.0154460116537499,0.50,0,-1.0,0.0,-1.0,7589,9999,0,-1.0,-1.0,0.0,69
1413bcb4-2604-4e10-8b27-8255f6f1af28,2024-09-02 13:20:43.000,-1181328268791120425,0,1,0.7328502272061024,9242.8512206262,0.015856700367827447,0.45,0,-1.0,0.0,-1.0,9849,9999,0,-1.0,-1.0,0.0,9999
344c7505-6982-48e9-a324-fb49aac1c66a,2024-09-02 13:21:37.000,4932352009646555864,0,1,0.4424072825333792,8626.149804747796,0.015908196271649373,0.40,0,-1.0,0.0,-1.0,1955,9999,0,-1.0,-1.0,0.0,9999
